product,descriptor_type,descriptors,sentences,n_keyword_hits
Blaand,fermented,['fermented'],"['blaand, or bland, is a fermented milk product made from whey']",1
Black Kashk,fermented,"['fermented', 'lactic', 'yogurt']","['qaraqorut is traditionally made from dūġ or doogh ie curdled fermented buttermilk, produced by adding kashk water, ie sour whey which contains lactic acid bacteria, to full fat yogurt which is then swung in a goatskin until it separates into butter and dūġ']",3
Black Kashk,fresh,['fresh'],['the strained sour whey left over from this process is boiled together with some fresh milk until it thickens'],1
Booza,aged,['aged'],"['using local ingredients together with sahlab and mastic (from the island of chios, greece), they recreated the traditional form of booza and packaged this in a take-home format available to consumers.\n', 'a brother and sister team (jilbert el-zmetr and tedy altree-williams) pioneered and created the first packaged version of booza in australia in 2011']",2
Borhani,fermented,['yogurt'],"['borhani (bengali: বোরহানী) is a traditional yogurt-like drink from bangladesh', 'however, the word is most likely to have derived from the persian term borani (persian: بورانی), which denotes a dish made of yogurt and greens.\n']",2
Bulgarian yogurt,cooked,"['baked', 'cooked', 'pasteurized']","['under us food and drug administration regulations, milk must be pasteurized before it is cultured, and may optionally be heat treated after culturing to increase shelf life', 'an unsweetened and unsalted yogurt drink usually called simply jogurt is consumed with burek and other baked goods in the balkans', 'even the leftover water extracted when straining yogurt is cooked to make a sour cream sauce called kashk, which is usually used as a topping on soups and stews.\n', 'it may be pasteurized or raw', 'dovga, a yogurt soup cooked with a variety of herbs and rice, is served warm in winter or refreshingly cold in summer', 'yogurt with live cultures is more beneficial than pasteurized yogurt for people with lactose malabsorption.\n', 'also, a wide variety of local lebanese and syrian dishes are cooked with yogurt like ""kibbi bi laban"" rahmjoghurt, a creamy yogurt with much higher fat content (10%) than many yogurts offered in english-speaking countries']",7
Bulgarian yogurt,fermented,"['culture', 'fermentation', 'fermented', 'kefir', 'lactic', 'probiotic', 'yoghurt', 'yogurt']","['yogurt consumption has been associated with reduced risk of cardiovascular disease, and insulin resistance', 'in north america, strained yogurt is commonly called ""greek yogurt""', 'yogurt that has been strained to filter or remove the whey is known as labneh in middle eastern countries', 'also available are ""yogurt smoothies"", which contain a higher proportion of fruit and are more like smoothies.\n', 'fermentation of sugars in the milk by these bacteria produces lactic acid, which acts on milk protein to give yogurt its texture and characteristic tart flavor', 'one nepalese yogurt is called juju dhau, originating from the city of bhaktapur', 'when mold forms on yogurt it can not be scraped away', 'some countries also regulate which bacteria can be used: for example, in france, a product can only be labeled as ""yaourt"" or ""yoghourt"" if it has been fermented exclusively by lactobacillus delbrueckii subsp', 'matsoni is a georgian yogurt in the caucasus and russia', 'red wood ants have been used in bulgaria and turkey to make yogurt; a few ants are added to warm milk and left to ferment', 'the scientific review by efsa enabled yogurt manufacturers to use a health claim on product labels, provided that the ""yogurt should contain at least 108 cfu live starter microorganisms (lactobacillus delbrueckii subsp', 'a 2011 review stated that high-quality clinical evidence was insufficient to conclude that consuming yogurt lowers the risk of diseases or otherwise improves health', 'in britain, the name ""greek"" may only be applied to yogurt made in greece.\n', 'plain yogurt still proved too sour for the american palate and in 1966 colombo yogurt sweetened the yogurt and added fruit preserves, creating ""fruit on the bottom"" style yogurt', 'these are typically called ""drinkable yogurt""', 'in 2010, the european food safety authority (efsa) determined that lactose intolerance can be alleviated by ingesting live yogurt cultures (lactobacilli) that are able to digest the lactose in other dairy products', 'strained yogurt is also enjoyed in greece and is the main component of tzatziki, a well-known accompaniment to gyros and souvlaki pita sandwiches: it is a yogurt sauce or dip made with the addition of grated cucumber, olive oil, salt and, optionally, mashed garlic', 'an unsweetened and unsalted yogurt drink usually called simply jogurt is consumed with burek and other baked goods in the balkans', 'a 2021 review found that yogurt consumption could improve lactose tolerance and digestion.\n', 'the cuisine of ancient greece included a dairy product known as oxygala (οξύγαλα) which was a form of yogurt', 'srikhand, a dessert in india, is made from strained yogurt, saffron, cardamom, nutmeg and sugar and sometimes fruits such as mango or pineapple.\n', 'the microstructure of yogurt is affected by both the fat and protein content and the processing conditions of the yogurt', 'dovga, a yogurt soup cooked with a variety of herbs and rice, is served warm in winter or refreshingly cold in summer', 'industrialization of yogurt production is credited to isaac carasso, who, in 1919, started a small yogurt business in barcelona, spain, naming the business danone (""little daniel"") after his son', 'key ingredients are yogurt blended with mint leaves (mentha), mustard seeds and black rock salt (kala namak)', 'although cow milk is a common choice for yogurt production, other milks, such as goat, sheep, and camel, produce different rheologies', 'sweetened yogurt drinks are the usual form in europe (including the uk) and the us, containing fruit and added sweeteners', 'yogurt is common in nepal, where it is served as both an appetizer and dessert', 'there is concern about the health effects of sweetened yogurt due to its high sugar content, although research indicates that use of sugar in yogurt manufacturing has decreased since 2016 in response to who and government initiatives to combat obesity.\n', 'colombo yogurt was originally delivered around new england in a horse-drawn wagon inscribed with the armenian word ""madzoon"" which was later changed to ""yogurt"", the turkish language name of the product, as turkish was the lingua franca between immigrants of the various near eastern ethnicities who were the main consumers at that time', 'yogurt production involves preparing warm milk to a temperature (30–45\xa0°c (86–113\xa0°f)) that will not kill the live microorganisms that turn the milk into yogurt, inoculating certain bacteria (starter culture), usually streptococcus thermophilus and lactobacillus bulgaricus, into the milk, and finally keeping it warm for several hours (4–12 hours).\n', 'in many countries, sweetened, flavored yogurt is common, typically sold in single-serving plastic cups', 'strained yogurt has been strained through a filter, traditionally made of muslin and more recently of paper or non-muslin cloth', 'they most likely found out how to ferment milk by chance and in all likelihood, yogurt was discovered independently in this way in many different places at different times.\n', 'bulgaricus and streptococcus thermophilus, a requirement that aligns with the international definition of yogurt in the codex alimentarius on fermented milk (cxs 243-2003).\n', 'yogurts can also be contaminated with aflatoxin-producing aspergillus flavus, aspergillus parasiticus and aspergillus nomius.\n', 'it can be thickened further and rolled into balls, preserved in olive oil, and fermented for a few more weeks', 'believing lactobacillus to be essential for good health, mechnikov worked to popularize yogurt as a foodstuff throughout europe.\n', 'in the united kingdom, australia, new zealand and south africa the word is usually spelled yoghurt, while in the united states the spelling is yogurt', 'milk with a higher concentration of solids than normal milk may be used; the higher solids content produces a firmer yogurt', 'this type of yogurt may be marketed under the name swiss-style, although it is unrelated to conventional swiss yogurt', 'some of the benefits were somewhat better for the lower fat yogurts', 'in the early 21st century, yogurt flavors inspired by desserts, such as chocolate or cheesecake, became common', 'in 1905, he described it as consisting of a spherical and a rod-like lactic acid-producing bacteria', 'in the summertime, yogurt and ice cubes are mixed together with cucumbers, raisins, salt, pepper and onions and topped with some croutons made of persian traditional bread and served as a cold soup', 'it has a consistency between that of yogurt and cheese', 'dahi is a yogurt from the indian subcontinent, known for its characteristic taste and consistency', 'tarator and cacık are cold soups made from yogurt during summertime in eastern europe', 'also, a wide variety of local lebanese and syrian dishes are cooked with yogurt like ""kibbi bi laban"" rahmjoghurt, a creamy yogurt with much higher fat content (10%) than many yogurts offered in english-speaking countries', 'in europe, companies may not market their plant-based products using the word yogurt since that term is reserved for products of animal origin only – per european union regulation 1308/2013 and a 2017 ruling in the court of justice of the european union', 'in low-fat formulations, the microstructure is a network of casein protein globules joined via clusters and strands that encapsulate pores: these pores house the aqueous phase and the bacterial cultures of the yogurt.\n', 'strained yogurt is made at home, especially if using skimmed milk which results in a thinner consistency', 'two types of yogurt are supported by the codex alimentarius for import and export.\n', 'lassi is a common indian beverage made from stirred liquified yogurt that is either salted or sweetened with sugar commonly, less commonly honey and combined with fruit pulp to create flavored lassi', 'the origins of yogurt are unknown but it was probably discovered first by neolithic people in central asia and mesopotamia around 5000 bc, when the first milk-producing animals were domesticated', 'it is made by mixing yogurt with water and (sometimes) salt.\n', 'the microorganisms that turn milk into yogurt can tolerate higher temperatures than most pathogens, so that a suitable temperature not only encourages the formation of yogurt, but inhibits pathogenic microorganisms', 'lassi is a yogurt-based beverage that is usually slightly salty or sweet, and may be commercially flavored with rosewater, mango or other fruit juice', 'borhani (or burhani) is a spicy yogurt drink from bangladesh', 'yogurt with added fruit jam was patented in 1933 by the radlická mlékárna dairy in prague.\n', ""yogurt was introduced to the united states in the first decade of the twentieth century, influenced by élie metchnikoff's the prolongation of life; optimistic studies (1908); it was available in tablet form for those with digestive intolerance and for home culturing"", 'some yogurts, often called ""cream line"", are made with whole milk which has not been homogenized so the cream rises to the top', 'under us food and drug administration regulations, milk must be pasteurized before it is cultured, and may optionally be heat treated after culturing to increase shelf life', 'many commercial yogurt products are supplemented with extra probiotic bacteria.\n', 'the word for yogurt is derived from the ottoman turkish: یوغورت, romanized:\xa0yoğurt, and is usually related to the verb yoğurmak, ""to knead"", or ""to be curdled or coagulated; to thicken""', ""yogurt's popularity in the united states was enhanced in the 1950s and 1960s, when it was presented as a health food by scientists like hungarian-born bacteriologist stephen a"", 'the mechanical properties of yogurt are typically assessed using rheometry, which quantifies the deformation and flow response of soft materials subject to shear forces', 'milk from water buffalo, goats, ewes, mares, camels, and yaks is also used to produce yogurt', 'because it may contain live cultures, yogurt is often associated with probiotics, which have been postulated as having positive effects on immune, cardiovascular or metabolic health.\n', 'yogurt with live cultures is more beneficial than pasteurized yogurt for people with lactose malabsorption.\n', 'after stirring, yogurt is more accurately defined as a weak gel.\n', 'by the late 20th century, yogurt had become a common american food item and colombo yogurt was sold in 1993 to general mills, which discontinued the brand in 2010.\n', 'yogurt (uk: /ˈjɒɡərt/; us: /ˈjoʊɡərt/, from ottoman turkish: یوغورت, turkish: yoğurt; also spelled yoghurt, yogourt or yoghourt) is a food produced by bacterial fermentation of milk', 'the earliest yogurts were probably spontaneously fermented by wild bacteria in goat skin bags.\n', 'other lactobacilli and bifidobacteria are sometimes added during or after culturing yogurt', 'ashe-mâst is a warm yogurt soup with fresh herbs, spinach and lentils', 'the two styles of yogurt commonly found in the grocery store are set-style yogurt and swiss-style yogurt', 'large amounts of sugar – or other sweeteners for low-energy yogurts – are often used in commercial yogurt', ""modern studies suggest that the ants' formic acid acidulates the milk, enabling microbes from the ants' microbes to thrive, and ant or bacterial enzymes break down milk proteins to produce a yogurt.\n"", 'yogurt (plain yogurt from whole milk) is 81% water, 9% protein, 5% fat, and 4% carbohydrates, including 4% sugars (table)', 'set-style yogurt is poured into individual containers to set, while swiss-style yogurt is stirred prior to packaging', 'the bacterial culture is mixed in, and a warm temperature of 30–45\xa0°c (86–113\xa0°f) is maintained for 4 to 12 hours to allow fermentation to occur, with the higher temperatures working faster but risking a lumpy texture or whey separation.\n', 'in english, spelling variations include yogurt, yoghurt, and to a lesser extent yoghourt or yogourt', 'yogurt made with raw milk can be contaminated with bacteria that can cause significant illness and even result in death, including listeria, cryptosporidium, campylobacter, brucella, escherichia coli and salmonella', 'goat milk yogurt has a low viscosity and a thinner texture when compared to cow milk yogurt', 'the yogurt-making process provides two significant barriers to pathogen growth, heat and acidity (low ph)', 'locally called dahi, it is a part of the nepali culture, used in local festivals, marriage ceremonies, parties, religious occasions, family gatherings, and so on', 'though they can be used to make many products similar to those made from dairy, there are differences in taste and texture, and some consumers may feel that they lack the ""delicate and smooth structure"" of ""conventional yogurts""', 'until the 1900s, yogurt was a staple in diets of people in the russian empire (and especially central asia and the caucasus), western asia, south eastern europe/balkans, central europe, and the indian subcontinent', ""while cow's milk is currently the primary ingredient for yogurt, goat and buffalo milk were widely used in the past, and valued for the fat content (see buffalo curd).\n"", 'the east indian dessert, a variation of traditional dahi called mishti dahi, offers a thicker, more custard-like consistency, and is usually sweeter than western yogurts', 'yogurt is characterized as a viscous, shear-thinning, non-newtonian fluid that forms when milk, a newtonian fluid, is fermented, causing protein aggregation and subsequent gelation', 'most commercial yogurts in the united states are not heat treated after culturing, and contain live cultures.\n', 'conversely, sheep milk, having higher content of solids, has a higher viscosity and thicker texture when compared to cow milk yogurt.\n', 'even the leftover water extracted when straining yogurt is cooked to make a sour cream sauce called kashk, which is usually used as a topping on soups and stews.\n', 'the oldest writings mentioning yogurt are attributed to pliny the elder, who remarked that certain ""barbarous nations"" knew how ""to thicken the milk into a substance with an agreeable acidity""', 'yogurt can further be characterized as ""set"" versus stirred, wherein set yogurts are processed and sold in the same container, and stirred yogurts are mixed prior to packaging in a secondary container.\n', 'a 2021 review found a cause-and-effect relationship between yogurt consumption and improved lactose tolerance and digestion, and that potential associations exist between yogurt consumption and improving bone health, as well as lowering the risk of some diseases, including cancers and metabolic syndrome', 'stamen grigorov (1878–1945), a bulgarian student of medicine in geneva, first examined the microflora of the bulgarian yogurt', 'once the yogurt has formed it can, if desired, be strained to reduce the whey content and thicken it.\n', 'dadiah or dadih is a traditional west sumatran yogurt made from water buffalo milk, fermented in bamboo tubes', 'since plant-based milks do not contain lactose (the food of streptococcus thermophilus and lactobacillus bulgaricus), plant-based products usually contain different bacterial strains than yogurt, such as lactobacillus casei, lactobacillus rhamnosus, and bifidobacterium bifidum', 'some types of strained yogurts are boiled in open vats first, so that the liquid content is reduced', 'a variety of plant-based yogurt alternatives appeared in the 2000s, using soy milk, rice milk, and nut milks such as almond milk and coconut milk fermented with cultures', 'the consistency of yogurt allows the mold to penetrate deeply under the surface where it spreads.\n', 'yogurt is produced using a culture of lactobacillus delbrueckii subsp', 'canada has its own spelling, yogourt, a minority variant of the french yaourt, although yogurt and  yoghurt are also used.\n', 'some countries require yogurt to contain a specific amount of colony-forming units (cfu) of bacteria; for example, in china the requirement for the number of lactobacillus bacteria is at least 1 million cfu per milliliter', 'galen (ad 129\xa0– c.\u2009200/c.\u2009216) mentioned that oxygala was consumed with honey, similar to the way thickened greek yogurt is eaten today', 'in northern iran, mâst chekide is a variety of kefir yogurt with a distinct sour taste', 'in tibet, yak milk (technically dri milk, as the word yak refers to the male animal) is made into yogurt (and butter and cheese) and consumed.\n', ""cow's milk is most commonly used to make yogurt"", 'the use of yogurt by medieval turks is recorded in the books dīwān lughāt al-turk by mahmud kashgari and kutadgu bilig by yusuf has hajib written in the 11th century', ""the russian biologist and nobel laureate ilya mechnikov, from the institut pasteur in paris, was influenced by grigorov's work and hypothesized that regular consumption of yogurt was responsible for the unusually long lifespans of bulgarian peasants"", 'tzatziki in greece and milk salad in bulgaria are thick yogurt-based salads similar to tarator.\n', 'in western indian (marathi and gujarati) cuisine, strained yogurt is macerated with sugar and spices such as saffron, cardamom and nutmeg to make the dessert ""shrikhand""', 'zabadi is the type of yogurt made in egypt, usually from the milk of the egyptian water buffalo', 'contamination occurs in traditionally prepared yogurts more often than industrially processed ones, but may affect the latter as well if manufacturing and packaging practices are suboptimal.\n', 'tilde (~) represents missing or incomplete data.\nthe above shows little difference exists between whole milk and yogurt made from whole milk with respect to the listed nutritional constituents.\n', 'meta-analyses found that consuming 80 grams per day of low-fat yogurt was associated with a lower risk of developing type 2 diabetes and a lower incidence of hip fracture in post-menopausal women', 'some yogurts contain added modified starch, pectin (found naturally in fruit) or gelatin to create thickness and creaminess', 'the sounds historically represented by the arabic letter ghayn in the turkish language ranging from a voiced velar fricative to a voiced velar plosive were traditionally romanized as ""gh"" prior to the introduction of a new latin-based turkish alphabet and the letter ""ğ"" in 1929, thus ""yoghurt"" spelled with a ""gh"" is first attested in sources from 1615 to 1625.\n', 'daily intake of 50\xa0grams of yogurt has been shown to reduce risk of overweight or obesity by 13%, and reduce risk of type 2 diabetes by 7%', 'ayran, doogh (""dawghe"" in neo-aramaic) or dhallë is a yogurt-based, salty drink', 'khyar w laban (cucumber and yogurt salad) is a dish in lebanon and syria', 'reaffirmed in 2021, per the us fda\'s standard of identity regulations, the word yogurt has been reserved for a product made from lactation and is a product of ""milk-derived ingredients"".\n', 'as is central in materials science, the rheological properties of yogurt are dictated by a variety of processing factors, including the ratios of dry and wet matter, thermal treatments, milk origin, starter cultures, and yogurt type.\n', 'as a proportion of the daily value (dv), a serving of yogurt is a rich source of vitamin b12 (31% dv) and riboflavin (23% dv), with moderate content of protein, phosphorus, and selenium (14 to 19% dv; table).\n', 'stirred yogurt formulations have a coarser distribution of loosely associated casein particulates due to the shear forces and resulting particle-particle collisions induced during the mixing process', 'both texts mention the word ""yogurt"" in different sections and describe its use by nomadic turks', 'to offset its natural sourness, yogurt is also sold sweetened, sweetened and flavored or in containers with fruit or fruit jam on the bottom', 'jameed, yogurt salted and dried to preserve it, is consumed in jordan']",157
Bulgarian yogurt,fresh,['fresh'],"['ashe-mâst is a warm yogurt soup with fresh herbs, spinach and lentils', 'it is usually mixed with a pesto-like water and fresh herb purée called delal', 'dovga, a yogurt soup cooked with a variety of herbs and rice, is served warm in winter or refreshingly cold in summer']",3
Buttermilk koldskål,fermented,['yoghurt'],"['koldskål is made with buttermilk and other varying ingredients: eggs, sugar, yoghurt  and/or other similar dairy products, vanilla, and sometimes lemon']",1
Clabber,cooked,['pasteurized'],"['it is produced by allowing unpasteurized milk to turn sour (ferment) at a specific humidity and temperature', 'a somewhat similar food can be made from pasteurized milk by adding vinegar or lemon juice to fresh milk, which causes it to curdle.\n', 'buttermilk is the commercially available pasteurized product closest to clabber']",3
Clabber,fermented,"['culture', 'yogurt']","['over time, the milk thickens or curdles into a yogurt-like consistency with a strong, sour flavor', ""clabber is sometimes a middle step in cheesemaking, such as for uzbekistan's kurt, polish twaróg\xa0 and for some cultured cheeses.\n""]",2
Clabber,fresh,['fresh'],"['a somewhat similar food can be made from pasteurized milk by adding vinegar or lemon juice to fresh milk, which causes it to curdle.\n']",1
Clotted cream,aged,['aged'],"['after the mixture has been heated for up to an hour it is slowly cooled for 12 hours or more, before the cream is separated and packaged', 'this cream is then heated in a similar manner, but at a lower temperature and after a set amount of time it is then chilled and packaged']",2
Clotted cream,cooked,"['cooked', 'heated', 'pasteurised']","['to scald, the trays are heated using steam or very hot water', 'this cream is then heated in a similar manner, but at a lower temperature and after a set amount of time it is then chilled and packaged', 'in the united kingdom the resultant cream is deemed to be equivalent to pasteurised for legal purposes', 'after the mixture has been heated for up to an hour it is slowly cooled for 12 hours or more, before the cream is separated and packaged', 'clotted cream has been described as having a ""nutty, cooked milk"" flavour, and a ""rich sweet flavour"" with a texture that is grainy, sometimes with oily globules on the crusted surface']",5
Clotted cream,fermented,['culture'],"[""originally made by farmers to reduce the amount of waste from their milk, clotted cream has become so deep-rooted in the culture of southwest britain that it is embedded as part of the region's tourist attractions""]",1
Clotted cream,fresh,['fresh'],"[""traditionally, clotted cream was created by straining fresh cow's milk, letting it stand in a shallow pan in a cool place for several hours to allow the cream to rise to the surface, then heating it either over hot cinders or in a water bath, before a slow cooling"", ""contemporary ancient food experts, noting strabo's commentaries on britain, have proposed that the early britons would have probably clotted their cream to preserve its freshness.\n""]",2
Cream cheese,aged,"['mature', 'ripened']","[' cream cheese is not naturally matured and is meant to be consumed fresh, so it differs from other soft cheeses, such as brie and neufchâtel', 'lawrence, a dairyman in chester, new york, was the first to mass produce an unripened fresh cheese known generically as cream cheese']",2
Cream cheese,cooked,['pasteurized'],['lactic acid bacteria are added to pasteurized and homogenized milk'],1
Cream cheese,fermented,"['fermentation', 'lactic']","['during the fermentation around 22\xa0°c (72\xa0°f), the ph of the blend decreases (acidifies)', 'lactic acid bacteria are added to pasteurized and homogenized milk']",2
Cream cheese,fresh,"['fresh', 'unripened']","[' cream cheese is not naturally matured and is meant to be consumed fresh, so it differs from other soft cheeses, such as brie and neufchâtel', 'lawrence, a dairyman in chester, new york, was the first to mass produce an unripened fresh cheese known generically as cream cheese', 'cream cheese is a soft, usually mild-tasting fresh cheese made from milk and cream']",4
Crème fraîche,cooked,"['baked', 'heated']","['it is served over fruit and baked goods, as well as being added to soups and sauces', 'this product is less stable than crème fraîche when heated.\n']",2
Crème fraîche,fermented,"['culture', 'fermented']","['crème fraîche consists of double cream and a starter culture', 'european labeling regulations specify the two ingredients must be cream and bacterial culture', 'the culture is made up of a mix of bacteria including, lactococcus species l', 'in other countries, however, crème fraîche without qualification usually refers to the thick, fermented product.\n', 'it is soured with a bacterial culture', 'crema mexicana is a similar cultured sour cream that may contain several other ingredients', 'in some places in europe, the fat content of crème fraîche is regulated, and it may not contain ingredients other than cream and starter culture.\n', 'this gel is only stable in higher fat cultured creams, around 30%, and therefore is not stable nor ubiquitous in low-fat crème fraîche', 'recipes for cooks making crème fraîche at home may substitute cultured buttermilk with active cultures for the starter culture.\n', 'crème fraîche is produced by adding a starter culture to heavy cream and allowing it to stand at an appropriate temperature until it thickens', 'however, in french-speaking countries, crème fraîche may refer to either: (a) the thick fermented product, crème fraîche épaisse or fermentée, or (b) a liquid cream, crème fraîche liquide or fleurette']",11
Crème fraîche,fresh,['fresh'],"['the name crème fraîche is french, but similar soured creams are found in much of northern europe, and a traditional soured cream (crema fresca in spanish) used in central america resembles it.\na literal translation of crème fraîche is ""fresh cream""', ""crème fraîche (english: /ˌkrɛmˈfrɛʃ/, french:  ⓘ, lit.\u2009'fresh cream') is a dairy product similar to sour cream; it is a soured cream containing 10–45% butterfat, with a ph of approximately 4.5""]",2
Cuajada,cooked,['heated'],"['it was traditionally made in a wooden vessel called kaiku and heated with a red-hot poker, giving it a distinct faintly burned taste.\ncommercial individual servings of cuajada are sold refrigerated in earthenware pots, but modernly plastic containers such as those of yogurt are also sold.\ncuajada means ""curdled"" in spanish']",1
Cuajada,fermented,['yogurt'],"['it was traditionally made in a wooden vessel called kaiku and heated with a red-hot poker, giving it a distinct faintly burned taste.\ncommercial individual servings of cuajada are sold refrigerated in earthenware pots, but modernly plastic containers such as those of yogurt are also sold.\ncuajada means ""curdled"" in spanish']",1
Dadiah,cooked,['heated'],"['dadiah (minangkabau) or dadih (indonesian and malaysian malay) a traditional fermented milk popular among people of west sumatra, indonesia, is made by pouring fresh, raw, unheated, buffalo milk into a bamboo tube capped with a banana leaf and allowing it to ferment spontaneously at room temperature for two days.\n']",1
Dadiah,fermented,"['fermentation', 'fermented', 'lactic', 'probiotic']","['natural, wild strains isolated from dadiah show inhibitory, competitive, and displacing properties against pathogens, and they are promising candidates for future probiotics', 'this wild strain of lactobacillus plantarum from dadiah has the highest removal abilities when compared to other commercial probiotic strains', 'some studies on the probiotic properties of indigenous strains isolated from dadiah were found to exhibit antimutagenic and antipathogenic properties, as well as acid and bile tolerance', 'the natural, indigenous, lactic acid bacteria found in dadiah could be derived from the bamboo tubes, buffalo milk, or banana leaves.\n', 'dadiah (minangkabau) or dadih (indonesian and malaysian malay) a traditional fermented milk popular among people of west sumatra, indonesia, is made by pouring fresh, raw, unheated, buffalo milk into a bamboo tube capped with a banana leaf and allowing it to ferment spontaneously at room temperature for two days.\n', 'in the malaysian version, the thickening agent is gelatin or agar-agar strands; it is not fermented and is usually sweetened with artificial flavourings such as corn, pandan, yam, chocolate, and strawberry, and is thus more akin to milk pudding.\n', 'its natural fermentation provides different strains of lactic acid bacteria involved in each fermentation', 'the milk is fermented by indigenous lactic bacteria found in the buffalo milk']",10
Dadiah,fresh,['fresh'],"['dadiah (minangkabau) or dadih (indonesian and malaysian malay) a traditional fermented milk popular among people of west sumatra, indonesia, is made by pouring fresh, raw, unheated, buffalo milk into a bamboo tube capped with a banana leaf and allowing it to ferment spontaneously at room temperature for two days.\n']",1
Daigo,aged,['aged'],"['according to the japanese dairy association, emperor daigo encouraged the production of so, daigo, and other cheese-like products during his reign in the 10th century.\n']",1
Dulce de Leche,fermented,['yogurt'],"['argentine politician rodolfo terragno attributed its origin to india, relating it to the sweet dish rabadi, made of yogurt.\n']",1
Filmjölk,cooked,['pasteurised'],"['the fil culture is needed when using pasteurised milk because the bacteria occurring naturally in milk are killed during the pasteurisation process.\n', 'to make filmjölk, a small amount of bacteria from an active batch of filmjölk is normally transferred to pasteurised milk and then left one to two days to ferment at room temperature or in a cool cellar', ""manufactured filmjölk is made from pasteurised, homogenised, and standardised cow's milk""]",3
