product,descriptor_type,descriptors,sentences,n_keyword_hits
Kaymak,buffalo,['buffalo'],"['afghan qaimak can be made from cow or buffalo milk.\n', 'it is a creamy dairy product made by simmering fresh buffalo, sheep, or cow milk, then cooling it slowly, during which a thick layer of cream forms on top', 'kaymak, sarshir, or qashta/ashta (persian: سَرشیر saršir; arabic: قشطة qeshta or قيمر geymar; turkish: kaymak) is a creamy dairy food similar to clotted cream, made from the milk of water buffalo, cows, sheep, or goats in central asia, some balkan countries, some caucasus countries, the levant, turkic regions, iran and iraq.\n', 'iraqi geymar is usually made from the rich fatty milk of cows or buffaloes, which are prevalent in the marshes of southern iraq', 'one type of kaymak is found in the afyonkarahisar region where the water buffalo are fed from the residue of poppy seeds pressed for oil']",5
Kaymak,cow,['cow'],"[""in the adjara region of georgia, bordering turkey, კაიმაღი (kaimaghi) is made from cow's milk in homes in the mountainous municipalities of keda, shuakhevi, and khulo"", 'afghan qaimak can be made from cow or buffalo milk.\n', 'it is a creamy dairy product made by simmering fresh buffalo, sheep, or cow milk, then cooling it slowly, during which a thick layer of cream forms on top', 'kaymak, sarshir, or qashta/ashta (persian: سَرشیر saršir; arabic: قشطة qeshta or قيمر geymar; turkish: kaymak) is a creamy dairy food similar to clotted cream, made from the milk of water buffalo, cows, sheep, or goats in central asia, some balkan countries, some caucasus countries, the levant, turkic regions, iran and iraq.\n', 'iraqi geymar is usually made from the rich fatty milk of cows or buffaloes, which are prevalent in the marshes of southern iraq']",5
Kaymak,goat,['goat'],"['kaymak, sarshir, or qashta/ashta (persian: سَرشیر saršir; arabic: قشطة qeshta or قيمر geymar; turkish: kaymak) is a creamy dairy food similar to clotted cream, made from the milk of water buffalo, cows, sheep, or goats in central asia, some balkan countries, some caucasus countries, the levant, turkic regions, iran and iraq.\n']",1
Kaymak,sheep,['sheep'],"['kaymak, sarshir, or qashta/ashta (persian: سَرشیر saršir; arabic: قشطة qeshta or قيمر geymar; turkish: kaymak) is a creamy dairy food similar to clotted cream, made from the milk of water buffalo, cows, sheep, or goats in central asia, some balkan countries, some caucasus countries, the levant, turkic regions, iran and iraq.\n', 'it is a creamy dairy product made by simmering fresh buffalo, sheep, or cow milk, then cooling it slowly, during which a thick layer of cream forms on top']",2
Kefir,cow,['cow'],"['it is prepared by inoculating the milk of cows, goats, or sheep with kefir grains.\n', 'typical animal milks used include cow, goat, and sheep, each with varying organoleptic (flavor, aroma, and texture) and nutritional qualities']",2
Kefir,goat,['goat'],"['it is prepared by inoculating the milk of cows, goats, or sheep with kefir grains.\n', 'traditional kefir was made in goatskin bags that were hung near a doorway; the bags would be knocked by anyone passing through to keep the milk and kefir grains well mixed', 'typical animal milks used include cow, goat, and sheep, each with varying organoleptic (flavor, aroma, and texture) and nutritional qualities']",3
Kefir,plant_based,['soy milk'],"['additionally, kefir grains will reproduce when fermenting soy milk, although they will change in appearance and size due to the differing proteins available to them.\n']",1
Kefir,sheep,['sheep'],"['it is prepared by inoculating the milk of cows, goats, or sheep with kefir grains.\n', 'typical animal milks used include cow, goat, and sheep, each with varying organoleptic (flavor, aroma, and texture) and nutritional qualities']",2
Kumis,cow,['cow'],"["" when they have got together a great quantity of milk, which is as sweet as cow's as long as it is fresh, they pour it into a big skin or bottle, and they set to churning it with a stick  and when they have beaten it sharply it begins to boil up like new wine and to sour or ferment, and they continue to churn it until they have extracted the butter"", ""because mare's milk contains more sugars than cow's or goat's milk, when fermented, kumis has a higher, though still mild, alcohol content compared to kefir.\n"", ""industrial-scale production, therefore, generally uses cow's milk, which is richer in fat and protein, but lower in lactose than the milk from a horse"", ""before fermentation, the cow's milk is fortified in one of several ways""]",4
Kumis,goat,['goat'],"[""because mare's milk contains more sugars than cow's or goat's milk, when fermented, kumis has a higher, though still mild, alcohol content compared to kefir.\n""]",1
Kumis,sheep,['sheep'],"[' the serving of it is an essential part of kyrgyz hospitality on the jayloo or high pasture, where they keep their herds of animals (horse, cattle, and sheep) during the summer phase of transhumance.\n']",1
Lassi,buffalo,['buffalo'],"['in punjab, the yogurt is traditionally made from water buffalo milk']",1
Malai,buffalo,['buffalo'],"['buffalo milk with fat contents varying from 5 to 12% is boiled and then cooled down to 4\xa0°c (39\xa0°f) for best results', 'buffalo milk is thought to produce better malai because of its high fat content']",2
Malai,cow,['cow'],"[""similarly, cow's milk with milk fat from 3 to 5% is boiled and cooled to make malai.\n""]",1
Matzoon,buffalo,['buffalo'],"[""matzoon is made from cow's milk (mostly), goat's milk, sheep's milk, buffalo milk, or a mix of them and a culture from previous productions""]",1
Matzoon,cow,['cow'],"[""matzoon is made from cow's milk (mostly), goat's milk, sheep's milk, buffalo milk, or a mix of them and a culture from previous productions""]",1
Matzoon,goat,['goat'],"[""matzoon is made from cow's milk (mostly), goat's milk, sheep's milk, buffalo milk, or a mix of them and a culture from previous productions""]",1
Matzoon,sheep,['sheep'],"[""matzoon is made from cow's milk (mostly), goat's milk, sheep's milk, buffalo milk, or a mix of them and a culture from previous productions""]",1
Mozzarella,buffalo,"['bufala', 'buffalo']","[""bocconcini ('small mouthful'), sometimes called uova di bufala ('buffalo eggs'), are approximately bite-sized; a common use is alternating them with cherry tomatoes on a skewer for an appetiser"", ""çaycuma and kandıra mozzarella cheeses are turkish cheeses made of buffalo's milk.\n"", ""bocconcini of water buffalo's milk are still produced in the provinces of naples, caserta, and salerno, as bocconcini alla panna di bufala, in a process that involves mixing freshly produced mozzarella di bufala campana pdo with fresh cream"", 'only selected mozzarella di bufala campana pdo is a style made from the milk of italian buffalo raised in designated areas of campania, lazio, apulia, and molise', ""varieties of mozzarella are distinguished by the milk used: mozzarella fior di latte when prepared with cow's milk and buffalo mozzarella (mozzarella di bufala in italian) when the milk of the italian buffalo is used"", 'genetic research suggest buffalo came to italy by migration of river buffalo from india in the 7th century ce.:\u200a179–180\u200a\n', 'according to the mozzarella di bufala campana trade association, ""the cheese-maker kneads it with his hands..', ""in italy, the cheese is produced nationwide using italian buffalo's milk under the government's official name mozzarella di latte di bufala, because italian buffalo are present in all regions"", 'a bocconcino di bufala campana pdo is also made, which is simply mozzarella di bufala campana pdo, produced in the egg-sized format.\n']",14
Mozzarella,cow,['cow'],"[""varieties of mozzarella are distinguished by the milk used: mozzarella fior di latte when prepared with cow's milk and buffalo mozzarella (mozzarella di bufala in italian) when the milk of the italian buffalo is used"", 'the international dictionary of food and cooking defines this cheese as ""a soft spun-curd cheese similar to mozzarella made from cow\'s milk"" that is ""sed particularly for pizzas and  contains somewhat less water than real mozzarella"".\n']",2
Mozzarella,goat,['goat'],"['goat milk mozzarella was invented recently, and is produced in small quantities']",1
Mozzarella,plant_based,['oat milk'],"['goat milk mozzarella was invented recently, and is produced in small quantities']",1
Mozzarella,sheep,"['ewe', 'sheep']","['fresh mozzarella makes a distinct squeaky sound when chewed or rubbed', 'mozzarella of sheep milk, sometimes called mozzarella pecorella, is typical of sardinia, lazio, and abruzzo, where it is also called mozzapecora', ""bocconcini ('small mouthful'), sometimes called uova di bufala ('buffalo eggs'), are approximately bite-sized; a common use is alternating them with cherry tomatoes on a skewer for an appetiser""]",3
Mursik,cow,['cow'],"['traditionally in some communities, but very rarely in modern times, fresh blood tapped from a cow may have been added to fresh milk before fermentation, or to already fermented milk', ""mursik is prepared primarily from cows' milk (but also less commonly goat's milk, or rarely sheep's milk) fermented in specially made seasoned milk gourds that are pre-treated with the smoke and charcoal of certain species of trees prior to each use"", 'it can be made from cow or goat milk and is fermented in a specially made calabash gourd locally known as a sotet']",3
Mursik,goat,['goat'],"[""mursik is prepared primarily from cows' milk (but also less commonly goat's milk, or rarely sheep's milk) fermented in specially made seasoned milk gourds that are pre-treated with the smoke and charcoal of certain species of trees prior to each use"", 'it can be made from cow or goat milk and is fermented in a specially made calabash gourd locally known as a sotet']",2
Mursik,plant_based,['oat milk'],['it can be made from cow or goat milk and is fermented in a specially made calabash gourd locally known as a sotet'],1
Mursik,sheep,['sheep'],"[""mursik is prepared primarily from cows' milk (but also less commonly goat's milk, or rarely sheep's milk) fermented in specially made seasoned milk gourds that are pre-treated with the smoke and charcoal of certain species of trees prior to each use""]",1
Paneer,buffalo,['buffalo'],"['in the second recipe, buffalo milk was coagulated with indian mallow (abutilon indicum) or country mallow (sida cordifolia) and was made into balls for sweets', 'paneer (pronounced ), is a fresh acid-set cheese, common in cuisine of south asia, made from cow milk or buffalo milk', 'lokopakara text dated to the 10th century gives two recipes for coagulated cheeses made from buffalo milk for making sweets using plants and roots', 'according to the text, buffalo milk was coagulated using roots of amaranth plant or leaves of marsh barbel (hygrophila auriculata); the soft cheese produced in this manner was called haluvuga']",4
Paneer,cow,['cow'],"['paneer (pronounced ), is a fresh acid-set cheese, common in cuisine of south asia, made from cow milk or buffalo milk', 'although many south asians translate ""paneer"" into ""cottage cheese"", cottage cheese is made using rennet extracted from the stomach of ruminants, and cow\'s skim milk']",2
Ricotta,buffalo,"['bufala', 'buffalo']","['ricotta (italian: ) is an italian whey cheese made from sheep, cow, goat, or italian water buffalo milk whey left over from the production of other cheeses', ""in the united states, american ricotta is almost always made of cow's milk whey, as opposed to italian ricotta which is typically made from the whey of sheep, cow, goat, or italian water buffalo milk"", 'ricotta di bufala campana is made from the whey left over after the production of mozzarella di bufala campana, a protected variety of buffalo mozzarella', ""ricotta di bufala campana and ricotta romana are notable varieties produced in italy and protected by the european union's protected designation of origin regulation""]",5
Ricotta,cow,['cow'],"['ricotta (italian: ) is an italian whey cheese made from sheep, cow, goat, or italian water buffalo milk whey left over from the production of other cheeses', 'in france, ricotta is known as recuite and can be made from cow, sheep, or goat milk', ""in the united states, american ricotta is almost always made of cow's milk whey, as opposed to italian ricotta which is typically made from the whey of sheep, cow, goat, or italian water buffalo milk"", ""in malta, a traditional cow's milk cheese known as irkotta is made almost identically to the italian ricotta, with the exception that it is generally made using fresh milk rather than from residual whey, which gives it a slightly firmer, crumblier texture than the italian variety"", 'ricotta forte, also known as ricotta scanta, is produced from leftovers of any combination of cow, goat, or sheep milk ricotta']",5
Ricotta,goat,['goat'],"['ricotta (italian: ) is an italian whey cheese made from sheep, cow, goat, or italian water buffalo milk whey left over from the production of other cheeses', ""in the united states, american ricotta is almost always made of cow's milk whey, as opposed to italian ricotta which is typically made from the whey of sheep, cow, goat, or italian water buffalo milk"", 'ricotta forte, also known as ricotta scanta, is produced from leftovers of any combination of cow, goat, or sheep milk ricotta', 'in france, ricotta is known as recuite and can be made from cow, sheep, or goat milk']",4
Ricotta,plant_based,['oat milk'],"['in france, ricotta is known as recuite and can be made from cow, sheep, or goat milk']",1
Ricotta,sheep,['sheep'],"['ricotta (italian: ) is an italian whey cheese made from sheep, cow, goat, or italian water buffalo milk whey left over from the production of other cheeses', ""it is exclusively made from the whey of sicilo-sarda sheep's milk"", 'in france, ricotta is known as recuite and can be made from cow, sheep, or goat milk', 'ricotta romana is made from the whey of sheep milk.\n', ""in the united states, american ricotta is almost always made of cow's milk whey, as opposed to italian ricotta which is typically made from the whey of sheep, cow, goat, or italian water buffalo milk"", ""ricotta salata is a pressed, salted, dried, and aged variety of the cheese, typically using ricottas made with sheep's milk sourced from lazio"", 'ricotta forte, also known as ricotta scanta, is produced from leftovers of any combination of cow, goat, or sheep milk ricotta']",7
Skyr,cow,['cow'],"[""originally it was made from sheep milk, but today the world is most familiar with the cow's milk version.\n""]",1
Skyr,sheep,['sheep'],"[""originally it was made from sheep milk, but today the world is most familiar with the cow's milk version.\n""]",1
Smen,cow,['cow'],"['the milks used are traditionally cow, goat, ewe, or a mixture.\n']",1
Smen,goat,['goat'],"['it is produced using butter made from the milk of sheep, goats or a combination of the two', 'the milks used are traditionally cow, goat, ewe, or a mixture.\n']",2
Smen,sheep,"['ewe', 'sheep']","['it is produced using butter made from the milk of sheep, goats or a combination of the two', 'the milks used are traditionally cow, goat, ewe, or a mixture.\n']",2
Soft serve,buffalo,['buffalo'],"['charles taylor of buffalo, ny, patented an automatic ice cream maker in 1926 that is reported to be the first soft-serve ice cream machine']",1
Sütlaç,plant_based,"['almond milk', 'non-dairy']","['in israel, in order to avoid violating kashrut (jewish dietary laws), variations of malabi (hebrew: מלבי) use almond milk instead of regular milk, especially when offered in conjunction with meat dishes.\n', 'the cypriot non-dairy muhallebi is made from water, sugar, cornstarch, and rose water, which is optional', 'in cyprus, muhallebi is called ""μαχαλλεπί (greek pronunciation:  in cypriot greek)"" and it can also be found in a non-dairy version alongside the version that contains milk (μαχαλλεπίν του γαλάτου; )']",3
Tzatziki,goat,['goat'],"['regular tzatziki is made of strained yogurt (usually from sheep or goat milk) mixed with cucumbers, garlic, salt, olive oil, vinegar, dill, mint, and parsley.\n']",1
Tzatziki,plant_based,['oat milk'],"['regular tzatziki is made of strained yogurt (usually from sheep or goat milk) mixed with cucumbers, garlic, salt, olive oil, vinegar, dill, mint, and parsley.\n']",1
Tzatziki,sheep,['sheep'],"['regular tzatziki is made of strained yogurt (usually from sheep or goat milk) mixed with cucumbers, garlic, salt, olive oil, vinegar, dill, mint, and parsley.\n']",1
Uunijuusto,cow,['cow'],"[""uunijuusto (finnish pronunciation: ) is a finnish dish made from cow's colostrum, the first milk of a calved cow, salted and baked""]",1
Varenets,sheep,['ewe'],"[""varenets (russian: варенец, lit.\u2009'the stewed one'), sometimes anglicised as stewler or simmeler, is a fermented milk product that is popular in russia""]",1
Yayık ayranı,cow,['cow'],"[""goat, sheep, or cow's milk can be used for turkish buttermilk production""]",1
Yayık ayranı,goat,['goat'],"['traditional turkish churns for butter and buttermilk production are made of various materials such as animal skin (dried and boiled goat or sheepskin), wood barrels, earthenware or metal, although in modern times electrically driven churns has become popular', ""goat, sheep, or cow's milk can be used for turkish buttermilk production""]",2
Yayık ayranı,sheep,['sheep'],"['traditional turkish churns for butter and buttermilk production are made of various materials such as animal skin (dried and boiled goat or sheepskin), wood barrels, earthenware or metal, although in modern times electrically driven churns has become popular', ""goat, sheep, or cow's milk can be used for turkish buttermilk production""]",2
