product,countries,description,productURL,countryURLs
Clotted cream,['England'],"<td>A thick <a href=""/wiki/Cream"" title=""Cream"">cream</a> made by indirectly heating full-cream cow's milk using steam or a water bath and then leaving it in shallow pans to cool slowly. During this time, the cream content rises to the surface and forms 'clots' or 'clouts'.<sup class=""reference"" id=""cite_ref-13""><a href=""#cite_note-13""><span class=""cite-bracket"">[</span>13<span class=""cite-bracket"">]</span></a></sup> It forms an essential part of a <a href=""/wiki/Cream_tea"" title=""Cream tea"">cream tea</a>.
</td>",https://en.wikipedia.org/wiki/Clotted_cream,['https://en.wikipedia.org/wiki/England']
Cream cheese,['United States'],"<td>A soft, mild-tasting cheese with a high fat content. Traditionally, it is made from unskimmed milk enriched with additional cream.<sup class=""reference"" id=""cite_ref-OED_14-0""><a href=""#cite_note-OED-14""><span class=""cite-bracket"">[</span>14<span class=""cite-bracket"">]</span></a></sup><sup class=""reference"" id=""cite_ref-Webster_15-0""><a href=""#cite_note-Webster-15""><span class=""cite-bracket"">[</span>15<span class=""cite-bracket"">]</span></a></sup> Stabilizers such as carob bean gum and carrageenan are added.<sup class=""reference"" id=""cite_ref-16""><a href=""#cite_note-16""><span class=""cite-bracket"">[</span>16<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Cream_cheese,['https://en.wikipedia.org/wiki/United_States']
Crème fraîche,['France'],"<td>A <a href=""/wiki/Sour_cream"" title=""Sour cream"">soured cream</a> containing 30–45% <a href=""/wiki/Butterfat"" title=""Butterfat"">butterfat</a> and having a <a href=""/wiki/PH"" title=""PH"">pH</a> of around 4.5.<sup class=""reference"" id=""cite_ref-Goddik_17-0""><a href=""#cite_note-Goddik-17""><span class=""cite-bracket"">[</span>17<span class=""cite-bracket"">]</span></a></sup> It is <a href=""/wiki/Souring"" title=""Souring"">soured</a> with <a href=""/wiki/Microbiological_culture"" title=""Microbiological culture"">bacterial culture</a>, but it is less sour than U.S.-style <a href=""/wiki/Sour_cream"" title=""Sour cream"">sour cream</a> and has a lower <a href=""/wiki/Viscosity"" title=""Viscosity"">viscosity</a> and a higher fat content.
</td>",https://en.wikipedia.org/wiki/Cr%C3%A8me_fra%C3%AEche,['https://en.wikipedia.org/wiki/France']
Cuajada,['Spain'],"<td>A (<a href=""/wiki/Curd"" title=""Curd"">milk curd</a>) cheese product. Traditionally it is made from <a class=""mw-redirect"" href=""/wiki/Ewe%27s_milk"" title=""Ewe's milk"">ewe's milk</a>, but now it is more often made industrially from cow's milk. It is popular in the north-eastern regions of <a href=""/wiki/Spain"" title=""Spain"">Spain</a> (<a href=""/wiki/Basque_Country_(autonomous_community)"" title=""Basque Country (autonomous community)"">Basque Country</a>, <a href=""/wiki/Navarre"" title=""Navarre"">Navarre</a>, <a class=""mw-redirect"" href=""/wiki/Castilla_y_Le%C3%B3n"" title=""Castilla y León"">Castilla y León</a>, <a class=""mw-redirect"" href=""/wiki/La_Rioja_(autonomous_community)"" title=""La Rioja (autonomous community)"">La Rioja</a>).
</td>",https://en.wikipedia.org/wiki/Cuajada,['https://en.wikipedia.org/wiki/Spain']
Dadiah,"['West Sumatra', 'Indonesia']","<td>A traditional fermented milk of West Sumatra, made by pouring fresh <a href=""/wiki/Raw_milk"" title=""Raw milk"">raw</a> unheated <a class=""mw-redirect"" href=""/wiki/Domestic_buffalo"" title=""Domestic buffalo"">buffalo</a> milk into a <a href=""/wiki/Bamboo"" title=""Bamboo"">bamboo</a> tube capped with a <a href=""/wiki/Banana_leaf"" title=""Banana leaf"">banana leaf</a>, and allowing it to <a class=""mw-redirect"" href=""/wiki/Fermentation_(food)"" title=""Fermentation (food)"">ferment</a> spontaneously at room temperature for two days.
</td>",https://en.wikipedia.org/wiki/Dadiah,"['https://en.wikipedia.org/wiki/West_Sumatra', 'https://en.wikipedia.org/wiki/Indonesia']"
Daigo,['Japan'],"<td>A type of dairy product made in Japan during the 10th century.<sup class=""reference"" id=""cite_ref-History_of_Cheese_18-0""><a href=""#cite_note-History_of_Cheese-18""><span class=""cite-bracket"">[</span>18<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Daigo_(dairy_product),['https://en.wikipedia.org/wiki/Japan']
Dondurma,['Turkey'],"<td>The name given to <a href=""/wiki/Ice_cream"" title=""Ice cream"">ice cream</a> in Turkey. Dondurma, which can be translated as ""frozen"", typically includes the ingredients <a href=""/wiki/Milk"" title=""Milk"">milk</a>, <a href=""/wiki/Sugar"" title=""Sugar"">sugar</a>, <a href=""/wiki/Salep"" title=""Salep"">salep</a>, and <a href=""/wiki/Mastic_(plant_resin)"" title=""Mastic (plant resin)"">mastic</a>.
</td>",https://en.wikipedia.org/wiki/Dondurma,['https://en.wikipedia.org/wiki/Turkey']
Dulce de Leche,"['Argentina', 'Chile', 'Colombia', 'Ecuador', 'Brazil']","<td>A dairy product made with milk and sugar; it takes a long time to cook.
</td>",https://en.wikipedia.org/wiki/Dulce_de_Leche,"['https://en.wikipedia.org/wiki/Argentina', 'https://en.wikipedia.org/wiki/Chile', 'https://en.wikipedia.org/wiki/Colombia', 'https://en.wikipedia.org/wiki/Ecuador', 'https://en.wikipedia.org/wiki/Brazil']"
Filmjölk,['Scandinavia'],"<td>A <a href=""/wiki/Scandinavia"" title=""Scandinavia"">Nordic</a> dairy product, similar to <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>, but using different bacteria which give a different taste and texture.
</td>",https://en.wikipedia.org/wiki/Filmj%C3%B6lk,['https://en.wikipedia.org/wiki/Scandinavia']
Fromage frais,"['France', 'Belgium']","<td>The name means ""fresh cheese"" in <a href=""/wiki/French_language"" title=""French language"">French</a> (<i>fromage blanc</i> translates as ""white cheese"").
</td>",https://en.wikipedia.org/wiki/Fromage_frais,"['https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/Belgium']"
Frozen yogurt,['United States'],"<td>A frozen dessert made with <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a> and sometimes other dairy products. It varies from slightly to much more tart than <a href=""/wiki/Ice_cream"" title=""Ice cream"">ice cream</a>, as well as being lower in fat (due to the use of milk instead of <a href=""/wiki/Cream"" title=""Cream"">cream</a>).
</td>",https://en.wikipedia.org/wiki/Frozen_yogurt,['https://en.wikipedia.org/wiki/United_States']
Gelato,['Italy'],"<td>The Italian word for ice cream, derived from the Latin word ""gelātus."" (meaning frozen). Gelato is made with <a href=""/wiki/Milk"" title=""Milk"">milk</a>, <a href=""/wiki/Cream"" title=""Cream"">cream</a>, various <a class=""mw-redirect"" href=""/wiki/Sugars"" title=""Sugars"">sugars</a>, and flavoring such as fresh <a href=""/wiki/Fruit"" title=""Fruit"">fruit</a> and <a href=""/wiki/Nut_(fruit)"" title=""Nut (fruit)"">nut</a> <a class=""mw-redirect"" href=""/wiki/Puree"" title=""Puree"">purees</a>.<sup class=""reference"" id=""cite_ref-21""><a href=""#cite_note-21""><span class=""cite-bracket"">[</span>21<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Gelato,['https://en.wikipedia.org/wiki/Italy']
Gombe,"['Sogn og Fjordane', 'Norway']","<td>A traditional dish from Sogn og Fjordane in Norway, it is prepared from curdled unpasteurized milk which is boiled down with sugar for several hours.
</td>",https://en.wikipedia.org/wiki/Gombe_(dish),"['https://en.wikipedia.org/wiki/Sogn_og_Fjordane', 'https://en.wikipedia.org/wiki/Norway']"
Gomme,['Norway'],"<td>A traditional <a href=""/wiki/Norwegian_cuisine"" title=""Norwegian cuisine"">Norwegian dish</a> used for dinner or dessert, gomme is a sort of sweet <a href=""/wiki/Cheese"" title=""Cheese"">cheese</a> made of long-boiled <a href=""/wiki/Milk"" title=""Milk"">milk</a>, having a yellow or brown color. A white, <a href=""/wiki/Porridge"" title=""Porridge"">porridge</a>-like variant made of milk and <a href=""/wiki/Oat"" title=""Oat"">oat</a> grains or <a href=""/wiki/Rice"" title=""Rice"">rice</a> also exists.
</td>",https://en.wikipedia.org/wiki/Gomme_(food),['https://en.wikipedia.org/wiki/Norway']
Haymilk,['Alps'],"<td>Haymilk (<a href=""/wiki/German_language"" title=""German language"">German</a>: <i lang=""de"">Heumilch</i>, <a href=""/wiki/Italian_language"" title=""Italian language"">Italian</a>: <i lang=""it"">latte fieno</i>) is <a href=""/wiki/Dairy"" title=""Dairy"">dairy</a> <a href=""/wiki/Milk"" title=""Milk"">milk</a> produced from animals that have mainly been fed fresh grass and (dry) hay, rather than fermented fodder. The term hay milk is registered as a <a class=""mw-redirect"" href=""/wiki/Traditional_Speciality_Guaranteed"" title=""Traditional Speciality Guaranteed"">Traditional Speciality Guaranteed</a> in the UK and the European Union.<sup class=""reference"" id=""cite_ref-cow_24-0""><a href=""#cite_note-cow-24""><span class=""cite-bracket"">[</span>24<span class=""cite-bracket"">]</span></a></sup><sup class=""reference"" id=""cite_ref-sheep_25-0""><a href=""#cite_note-sheep-25""><span class=""cite-bracket"">[</span>25<span class=""cite-bracket"">]</span></a></sup><sup class=""reference"" id=""cite_ref-goat_26-0""><a href=""#cite_note-goat-26""><span class=""cite-bracket"">[</span>26<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Haymilk,['https://en.wikipedia.org/wiki/Alps']
Junnu,['Andhra Pradesh'],"<td>A pudding made by steaming the <a href=""/wiki/Colostrum"" title=""Colostrum"">colostrum</a> of a cow along with <a href=""/wiki/Jaggery"" title=""Jaggery"">Jaggery</a>, <a href=""/wiki/Cardamom"" title=""Cardamom"">Cardamom</a> and optionally <a href=""/wiki/Black_pepper"" title=""Black pepper"">Black pepper</a>.
</td>",https://en.wikipedia.org/wiki/Junnu,['https://en.wikipedia.org/wiki/Andhra_Pradesh']
Kalvdans,['Scandinavia'],"<td>A classical <a href=""/wiki/Scandinavia"" title=""Scandinavia"">Scandinavian</a> dessert made from unpasteurized <a href=""/wiki/Colostrum"" title=""Colostrum"">colostrum</a> milk, the first milk produced by a cow after giving birth.
</td>",https://en.wikipedia.org/wiki/Kalvdans,['https://en.wikipedia.org/wiki/Scandinavia']
"Kashk, aaruul, chortan, qurut",['Caucasus'],"<td>A large family of foods found in <a class=""mw-redirect"" href=""/wiki/Caucasian_cuisine"" title=""Caucasian cuisine"">Caucasian</a>, <a href=""/wiki/Central_Asian_cuisine"" title=""Central Asian cuisine"">Central Asian</a>, <a href=""/wiki/Iranian_cuisine"" title=""Iranian cuisine"">Iranian</a>, <a href=""/wiki/Levantine_cuisine"" title=""Levantine cuisine"">Levantine</a>, <a href=""/wiki/Mongolian_cuisine"" title=""Mongolian cuisine"">Mongolian</a>, and <a href=""/wiki/Turkish_cuisine"" title=""Turkish cuisine"">Turkish</a> cuisines. There are three main kinds of food with this name: foods based on curdled milk products like yogurt or cheese are within the realm of dairy products.
</td>",https://en.wikipedia.org/wiki/Kashk,['https://en.wikipedia.org/wiki/Caucasus']
Kaymak,['Turkey'],"<td>A creamy dairy product, similar to <a href=""/wiki/Clotted_cream"" title=""Clotted cream"">clotted cream</a>. It is made from the milk of <a href=""/wiki/Water_buffalo"" title=""Water buffalo"">water buffalos</a> or of <a class=""mw-redirect"" href=""/wiki/Cow"" title=""Cow"">cows</a>.
</td>",https://en.wikipedia.org/wiki/Kaymak,['https://en.wikipedia.org/wiki/Turkey']
Kefir,['Caucasus'],"<td>A <a class=""mw-redirect"" href=""/wiki/Fermented_milk_products"" title=""Fermented milk products"">fermented milk drink</a> prepared by inoculating cow, <a class=""mw-redirect"" href=""/wiki/Goat%27s_milk"" title=""Goat's milk"">goat</a>, or <a href=""/wiki/Sheep_milk"" title=""Sheep milk"">sheep</a> milk with kefir grains.
</td>",https://en.wikipedia.org/wiki/Kefir,['https://en.wikipedia.org/wiki/Caucasus']
Kumis,"['Central Asia', 'Mongolia']","<td>A fermented dairy product traditionally made from <a href=""/wiki/Mare"" title=""Mare"">mare</a>'s milk. The drink remains important to the peoples of the <a href=""/wiki/Central_Asia"" title=""Central Asia"">Central Asian</a> <a href=""/wiki/Steppe"" title=""Steppe"">steppes</a>, of Huno-Bulgar, <a href=""/wiki/Turkic_peoples"" title=""Turkic peoples"">Turkic</a> and Mongol origin: <a href=""/wiki/Bashkirs"" title=""Bashkirs"">Bashkirs</a>, <a href=""/wiki/Kalmyks"" title=""Kalmyks"">Kalmyks</a>, <a href=""/wiki/Kazakhs"" title=""Kazakhs"">Kazakhs</a>, <a href=""/wiki/Kyrgyz_people"" title=""Kyrgyz people"">Kyrgyz</a>, <a class=""mw-redirect"" href=""/wiki/Mongol"" title=""Mongol"">Mongols</a>, <a href=""/wiki/Uyghurs"" title=""Uyghurs"">Uyghurs</a>, and <a href=""/wiki/Yakuts"" title=""Yakuts"">Yakuts</a>.<sup class=""reference"" id=""cite_ref-29""><a href=""#cite_note-29""><span class=""cite-bracket"">[</span>29<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Kumis,"['https://en.wikipedia.org/wiki/Central_Asia', 'https://en.wikipedia.org/wiki/Mongolia']"
Lassi,['Punjab'],"<td>A popular, traditional, <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>-based drink consisting of a blend of yogurt, water, <a class=""mw-redirect"" href=""/wiki/Spices"" title=""Spices"">spices</a>, and sometimes, fruit.
</td>",https://en.wikipedia.org/wiki/Lassi,['https://en.wikipedia.org/wiki/Punjab']
Leben (labneh),['Lebanon'],"<td>A fermented milk product commonly available in the <a href=""/wiki/Arab_world"" title=""Arab world"">Arab world</a>, <a href=""/wiki/Israel"" title=""Israel"">Israel</a> and <a href=""/wiki/Cyprus"" title=""Cyprus"">Cyprus</a>.
</td>",https://en.wikipedia.org/wiki/Leben_(milk_product),['https://en.wikipedia.org/wiki/Lebanon']
Malai,['India'],"<td>Similar to <a href=""/wiki/Clotted_cream"" title=""Clotted cream"">clotted cream</a>. It is made by heating non-homogenized whole milk to about 80 °C (180 °F) for about one hour and then allowing to cool. Malai develops as a layer on the top of the cooled milk, which is then collected and stored layer by layer.
</td>",https://en.wikipedia.org/wiki/Malai,['https://en.wikipedia.org/wiki/India']
Matzoon,['Armenia'],"<td>A fermented milk product of Armenian origin made from cow's milk (mostly), goat's milk, sheep's milk, or a mix of them and a culture from previous productions. In Georgia it is known as <i>matsoni</i>.
</td>",https://en.wikipedia.org/wiki/Matzoon_(yogurt),['https://en.wikipedia.org/wiki/Armenia']
Míša,['Czech Republic'],"<td>A popular Czech confection made with frozen cream cheese
</td>",https://en.wikipedia.org/wiki/M%C3%AD%C5%A1a,['https://en.wikipedia.org/wiki/Czech_Republic']
Mozzarella,['Italy'],"<td>Italian semi-soft, non-aged cheese, made from cow milk (mozzarella) and buffalo milk (mozzarella di bufala).
</td>",https://en.wikipedia.org/wiki/Mozzarella,['https://en.wikipedia.org/wiki/Italy']
Mursik,['Kenya'],"<td>A basic element of the cuisine of the <a href=""/wiki/Kalenjin_people"" title=""Kalenjin people"">Kalenjin people</a> of <a href=""/wiki/Kenya"" title=""Kenya"">Kenya</a>. Made from curdled dairy products cooked in a specially made <a href=""/wiki/Gourd"" title=""Gourd"">gourd</a> container, it is commonly served at dinner.
</td>",https://en.wikipedia.org/wiki/Mursik,['https://en.wikipedia.org/wiki/Kenya']
Paneer,['India'],"<td>This fresh cheese, very common in South Asian cuisine, is generally called Chhena in northern parts of the Indian Subcontinent. It is an unaged, acid-set, non-melting farmer cheese or curd cheese made by curdling heated milk with lemon juice, vinegar, or any other food acids.
</td>",https://en.wikipedia.org/wiki/Paneer,['https://en.wikipedia.org/wiki/India']
Ryazhenka,['Ukraine'],"<td>Fermented <a href=""/wiki/Baked_milk"" title=""Baked milk"">baked milk</a>
</td>",https://en.wikipedia.org/wiki/Ryazhenka,['https://en.wikipedia.org/wiki/Ukraine']
Ricotta,['Italy'],"<td>Italian <a href=""/wiki/Whey_cheese"" title=""Whey cheese"">whey cheese</a> made from <a href=""/wiki/Sheep"" title=""Sheep"">sheep</a>, <a class=""mw-redirect"" href=""/wiki/Cow"" title=""Cow"">cow</a>, <a href=""/wiki/Goat"" title=""Goat"">goat</a>, or <a class=""mw-redirect"" href=""/wiki/Italian_water_buffalo"" title=""Italian water buffalo"">Italian water buffalo</a> <a href=""/wiki/Milk"" title=""Milk"">milk</a> <a href=""/wiki/Whey"" title=""Whey"">whey</a> left over from the production of other <a href=""/wiki/Cheese"" title=""Cheese"">cheeses</a>
</td>",https://en.wikipedia.org/wiki/Ricotta,['https://en.wikipedia.org/wiki/Italy']
Sarasson,['France'],"<td>A French dairy product resembling cream cheese or fromage blanc made from buttermilk<sup class=""reference"" id=""cite_ref-32""><a href=""#cite_note-32""><span class=""cite-bracket"">[</span>32<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Sarasson,['https://en.wikipedia.org/wiki/France']
Shrikhand,['India'],"<td>An <a href=""/wiki/Indian_cuisine"" title=""Indian cuisine"">Indian</a> sweet dish made of <a href=""/wiki/Strained_yogurt"" title=""Strained yogurt"">strained yogurt</a>.<sup class=""reference"" id=""cite_ref-33""><a href=""#cite_note-33""><span class=""cite-bracket"">[</span>33<span class=""cite-bracket"">]</span></a></sup> It is one of the main desserts in <a href=""/wiki/Maharashtrian_cuisine"" title=""Maharashtrian cuisine"">Maharashtrian cuisine</a> and <a href=""/wiki/Gujarati_cuisine"" title=""Gujarati cuisine"">Gujarati cuisine</a>.
</td>",https://en.wikipedia.org/wiki/Shrikhand,['https://en.wikipedia.org/wiki/India']
Skyr,['Iceland'],"<td>An Icelandic cultured <a href=""/wiki/Milk"" title=""Milk"">dairy product</a>, similar to <a href=""/wiki/Strained_yogurt"" title=""Strained yogurt"">strained yogurt</a>. It has been a part of <a href=""/wiki/Icelandic_cuisine"" title=""Icelandic cuisine"">Icelandic cuisine</a> for over a thousand years.<sup class=""reference"" id=""cite_ref-GG_34-0""><a href=""#cite_note-GG-34""><span class=""cite-bracket"">[</span>34<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Skyr,['https://en.wikipedia.org/wiki/Iceland']
Smen,['Morocco'],"<td>A Moroccan cultured <a href=""/wiki/Dairy_product"" title=""Dairy product"">dairy product</a>. <a class=""mw-redirect"" href=""/wiki/Berber_people"" title=""Berber people"">Berber</a> farmers in southern <a href=""/wiki/Morocco"" title=""Morocco"">Morocco</a> will sometimes bury a sealed vessel of smen on the day of a daughter's birth, ageing it until it is unearthed and used to season the food served on that daughter's wedding.
</td>",https://en.wikipedia.org/wiki/Smen,['https://en.wikipedia.org/wiki/Moroccan_cuisine']
Smetana,['Central and Eastern Europe'],"<td>A range of sour creams from Central and Eastern Europe. It is a dairy product produced by <a href=""/wiki/Souring"" title=""Souring"">souring</a> <a class=""mw-redirect"" href=""/wiki/Heavy_cream"" title=""Heavy cream"">heavy cream</a>.
</td>",https://en.wikipedia.org/wiki/Smetana_(dairy_product),['https://en.wikipedia.org/wiki/Central_and_Eastern_Europe']
So,['Japan'],"<td>A type of dairy product that was made in Japan between 7th and 10th centuries.<sup class=""reference"" id=""cite_ref-35""><a href=""#cite_note-35""><span class=""cite-bracket"">[</span>35<span class=""cite-bracket"">]</span></a></sup>  So was made from layers of <a href=""/wiki/Milk_skin"" title=""Milk skin"">milk skin</a>.
</td>",https://en.wikipedia.org/wiki/So_(dairy_product),['https://en.wikipedia.org/wiki/Japan']
Soft serve,['United States'],"<td>A type of <a href=""/wiki/Ice_cream"" title=""Ice cream"">ice cream</a> that is softer than regular ice cream, as a result of air being introduced during freezing.  Soft serve ice cream has been sold commercially since the late 1930s.
</td>",https://en.wikipedia.org/wiki/Soft_serve,['https://en.wikipedia.org/wiki/United_States']
Spaghettieis,"['Mannheim', 'Germany']","<td>A German <a href=""/wiki/Ice_cream"" title=""Ice cream"">ice cream</a> made to look like a plate of <a href=""/wiki/Spaghetti"" title=""Spaghetti"">spaghetti</a>. It was created by Dario Fontanella in the late 1960s in <a href=""/wiki/Mannheim"" title=""Mannheim"">Mannheim</a>, Germany.
</td>",https://en.wikipedia.org/wiki/Spaghettieis,"['https://en.wikipedia.org/wiki/Mannheim', 'https://en.wikipedia.org/wiki/Germany']"
Súrmjólk,['Iceland'],"<td>A cultured milk product, or a type of yogurt. It is made from either whole or semi-skimmed milk and various flavorings are sometimes added.<sup class=""reference"" id=""cite_ref-37""><a href=""#cite_note-37""><span class=""cite-bracket"">[</span>37<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/S%C3%BArmj%C3%B3lk,['https://en.wikipedia.org/wiki/Iceland']
Sütlaç,['Turkey'],"<td>A traditional Turkish dessert which is a type of <a href=""/wiki/Rice_pudding"" title=""Rice pudding"">rice pudding</a> and can be roughly translated as ""milk dish"" (sütlü=with milk, aş=dish/food, then through time ""ş"" sound turned into ""ç"".
</td>",https://en.wikipedia.org/wiki/S%C3%BCtla%C3%A7,['https://en.wikipedia.org/wiki/Turkey']
Tzatziki,"['Greece', 'Turkey']","<td>A Southeastern European dish of seasoned, strained <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>. Today it is eaten primarily in <a href=""/wiki/Greece"" title=""Greece"">Greece</a> with <a href=""/wiki/Souvlaki"" title=""Souvlaki"">souvlaki</a> and is available at most <a href=""/wiki/Taverna"" title=""Taverna"">taverna</a> restaurants and street food parlours. It is also eaten throughout the former <a href=""/wiki/Ottoman_Empire"" title=""Ottoman Empire"">Ottoman countries</a>. It is similar to <a class=""mw-redirect"" href=""/wiki/Tarator"" title=""Tarator"">tarator</a> in <a href=""/wiki/Balkan_cuisine"" title=""Balkan cuisine"">Balkan cuisine</a>.
</td>",https://en.wikipedia.org/wiki/Tzatziki,"['https://en.wikipedia.org/wiki/Greece', 'https://en.wikipedia.org/wiki/Turkey']"
