product,descriptor_type,descriptors,sentences,n_keyword_hits
Bulgarian yogurt,cooking,['sauce'],"['strained yogurt is also enjoyed in greece and is the main component of tzatziki, a well-known accompaniment to gyros and souvlaki pita sandwiches: it is a yogurt sauce or dip made with the addition of grated cucumber, olive oil, salt and, optionally, mashed garlic', 'even the leftover water extracted when straining yogurt is cooked to make a sour cream sauce called kashk, which is usually used as a topping on soups and stews.\n']",2
Bulgarian yogurt,dessert,"['cake', 'custard', 'dessert', 'sweet']","['the east indian dessert, a variation of traditional dahi called mishti dahi, offers a thicker, more custard-like consistency, and is usually sweeter than western yogurts', 'yogurt is common in nepal, where it is served as both an appetizer and dessert', 'either may have fruit added to increase sweetness.\n', 'sweetened dahi (mishti doi or meethi dahi) is common in eastern parts of india, made by fermenting sweetened milk', 'there is concern about the health effects of sweetened yogurt due to its high sugar content, although research indicates that use of sugar in yogurt manufacturing has decreased since 2016 in response to who and government initiatives to combat obesity.\n', 'in western indian (marathi and gujarati) cuisine, strained yogurt is macerated with sugar and spices such as saffron, cardamom and nutmeg to make the dessert ""shrikhand""', 'lassi is a yogurt-based beverage that is usually slightly salty or sweet, and may be commercially flavored with rosewater, mango or other fruit juice', 'an unsweetened and unsalted yogurt drink usually called simply jogurt is consumed with burek and other baked goods in the balkans', 'in the early 21st century, yogurt flavors inspired by desserts, such as chocolate or cheesecake, became common', 'srikhand, a dessert in india, is made from strained yogurt, saffron, cardamom, nutmeg and sugar and sometimes fruits such as mango or pineapple.\n', 'lassi is a common indian beverage made from stirred liquified yogurt that is either salted or sweetened with sugar commonly, less commonly honey and combined with fruit pulp to create flavored lassi', 'large amounts of sugar – or other sweeteners for low-energy yogurts – are often used in commercial yogurt', 'in many countries, sweetened, flavored yogurt is common, typically sold in single-serving plastic cups', 'plain yogurt still proved too sour for the american palate and in 1966 colombo yogurt sweetened the yogurt and added fruit preserves, creating ""fruit on the bottom"" style yogurt', 'plant-based products also vary considerably in their nutrition and ingredients and may contain gums, stabilizers, high-intensity sweeteners, and artificial colors.\n', 'sweetened yogurt drinks are the usual form in europe (including the uk) and the us, containing fruit and added sweeteners', 'to offset its natural sourness, yogurt is also sold sweetened, sweetened and flavored or in containers with fruit or fruit jam on the bottom']",20
Bulgarian yogurt,snack,['appetizer'],"['yogurt is common in nepal, where it is served as both an appetizer and dessert', 'common appetizers are spinach or eggplant borani, mâst-o-khiâr with cucumber, spring onions and herbs, and mâst-musir with wild shallots']",2
Buttermilk koldskål,dessert,"['dessert', 'sweet']","['the dish arose when buttermilk became commonly available in denmark in the early 1900s and was eaten chilled most days during the summer as a dessert or snack', 'buttermilk koldskål (danish: kærnemælkskoldskål, often simply koldskål – literally cold bowl) is a sweet cold dairy beverage or dessert eaten in denmark.\n', 'the earliest mentions of koldskål are from the 18th century, where the term was used to describe a sweet beer-based gruel, however this dish is not commonly eaten any more']",4
Buttermilk koldskål,snack,['snack'],['the dish arose when buttermilk became commonly available in denmark in the early 1900s and was eaten chilled most days during the summer as a dessert or snack'],1
Clabber,breakfast,['breakfast'],"['in rural areas of the southern united states, it was commonly eaten for breakfast with brown sugar, nutmeg, cinnamon, or molasses added']",1
Clabber,cooking,['cooking'],"['according to joy of cooking, ""clabber..']",1
Clotted cream,bread,"['bread', 'spread']","['traditionally, there are differences in the way it is eaten in each county: in devon the cream is traditionally spread first on the scone, with the jam dolloped on top', 'one variation on a cream tea is called ""thunder and lightning"" which consists of a round of bread topped with clotted cream and golden syrup, honey or treacle.\n', 'in a bbc report, local historians claimed local workers were drafted in to help with the repairs, and the monks rewarded them with bread, clotted cream, and strawberry preserves', 'cream teas, known as devonshire teas, spread to southern australia as early immigrants from cornwall and devon took their traditional recipes with them', 'in cornwall the jam is spread first with a dollop of cream']",5
Clotted cream,dessert,"['dessert', 'ice cream', 'sweet']","['it is used throughout southwest england in the production of ice cream and fudge.\n', 'clotted cream can be used as an accompaniment to hot or cold desserts', ""in the early 1980s rodda's signed deals with international airlines to serve small tubs of clotted cream with the in-flight desserts"", ' it was a common accompaniment to junket, a milk-based dessert that went out of fashion in the mid-20th century.\n', 'clotted cream has been described as having a ""nutty, cooked milk"" flavour, and a ""rich sweet flavour"" with a texture that is grainy, sometimes with oily globules on the crusted surface']",5
Cream cheese,bread,"['bagel', 'sandwich', 'schmear', 'spread']","['some of its ingredients include cream (to adjust milk fat content), salt, nitrogen (to improve spreadability) and several gelling, thickening, stabilizing, and emulsifying ingredients such as xanthan gum or gelatin, to a maximum of 0.5%', 'cream cheese is common in the ashkenazi jewish cuisine of new york city, where it is known as a ""schmear""', 'it is the basis of the bagel and cream cheese, an open-faced sandwich']",4
Crème fraîche,cooking,['sauce'],"['it often is used to finish hot savory sauces, and with its fat content greater than 30%, curdling is not a problem', 'it is served over fruit and baked goods, as well as being added to soups and sauces', 'it is also the basis of many desserts and dessert sauces.\n']",3
Crème fraîche,dessert,['dessert'],['it is also the basis of many desserts and dessert sauces.\n'],1
Cuajada,bread,['spread'],"['a similar product named coalhada (portuguese for ""curdled"") is found mostly in brazil, and its consumption is widespread in northeastern brazil and rural areas in other regions, where traditional recipes are more common']",1
Cuajada,breakfast,['breakfast'],"['cuajada is usually served as dessert with honey and walnuts or sometimes sugar, and less often, for breakfast with fruit or honey']",1
Cuajada,dessert,"['dessert', 'sweet']","['cuajada is usually served as dessert with honey and walnuts or sometimes sugar, and less often, for breakfast with fruit or honey', 'it is usually eaten alone or with yuca flour, sweetened with sugar, honey or molasses.\n']",2
Dadiah,breakfast,['breakfast'],"['dadiah is usually eaten for breakfast, mixed together with ampiang (traditional glutinous rice krispies) and palm sugar']",1
Dadiah,dessert,"['pudding', 'sweet']","['in the malaysian version, the thickening agent is gelatin or agar-agar strands; it is not fermented and is usually sweetened with artificial flavourings such as corn, pandan, yam, chocolate, and strawberry, and is thus more akin to milk pudding.\n']",2
Dondurma,dessert,['ice cream'],"['outside turkey, it typically refers specifically to mastic ice cream, which is believed to originate from the city and region of kahramanmaraş and is known as maraş dondurma in turkish', 'dondurma is the turkish name for ice cream', 'vendors often perform magic tricks and practical jokes, with examples including presenting the ice cream cone on a long stick or pole, and then taking away the dondurma by rotating it around, or serving it with an extra cone that comes away from the actual cone when the stick is lifted', 'as of 2010, the average rate of consumption in turkey was 2.8 liters of ice cream per person per year (compared to the united states at 14.2 liters per person  and world consumption leader australia at 17.9 liters in 2010).\n', 'two qualities distinguish turkish ice cream: hard texture and resistance to melting, brought about by inclusion of the thickening agents salep, a flour made from the root of the early purple orchid, and mastic, a resin that imparts chewiness.\n']",5
Dulce de Leche,bread,"['spread', 'toast']","['dulce de leche can be eaten alone, but is more commonly used as a topping or filling for other sweet foods, such as cakes, churros, cookies (see alfajor), waffles, flan cakes (aka crème caramel (known as pudim among portuguese-speakers, and not to be confused with british pie-like variant of flan), fruits like bananas and candied figs, and ice creams; it is also a popular spread on crepes (panqueques), obleas (wafers), and toast.\n', 'the substance takes on a spreadable, sauce-like consistency and derives its rich flavour and colour from non-enzymatic browning']",3
Dulce de Leche,cooking,"['cooking', 'sauce']","['another method of preparation, similar to russian boiled condensed milk known as ""varyonaya sgushchyonka"" (ukrainian ""shushchene moloko""), involves using canned or boxed sweetened condensed milk and cooking it in a pressure cooker for 20 to 25 minutes for a light color and slightly soft consistency, or 40 to 45 minutes for a darker color and firmer consistency', 'the substance takes on a spreadable, sauce-like consistency and derives its rich flavour and colour from non-enzymatic browning', 'the cooking time is similar to the previous method (around 35 to 40 minutes)']",3
Dulce de Leche,dessert,"['cake', 'ice cream', 'sweet']","['in this method, different ingredients can also be added to the sweetened condensed milk, such as shredded coconut or peanuts', 'dulce de leche can be eaten alone, but is more commonly used as a topping or filling for other sweet foods, such as cakes, churros, cookies (see alfajor), waffles, flan cakes (aka crème caramel (known as pudim among portuguese-speakers, and not to be confused with british pie-like variant of flan), fruits like bananas and candied figs, and ice creams; it is also a popular spread on crepes (panqueques), obleas (wafers), and toast.\n', 'argentine politician rodolfo terragno attributed its origin to india, relating it to the sweet dish rabadi, made of yogurt.\n', 'spanish dulce de leche and portuguese doce de leite (portuguese: ) mean ""sweet  of milk""', 'another method of preparation, similar to russian boiled condensed milk known as ""varyonaya sgushchyonka"" (ukrainian ""shushchene moloko""), involves using canned or boxed sweetened condensed milk and cooking it in a pressure cooker for 20 to 25 minutes for a light color and slightly soft consistency, or 40 to 45 minutes for a darker color and firmer consistency', 'it is typically used to top or fill other sweet foods.\n']",8
Filmjölk,bread,['bread'],"['in the nordic countries, filmjölk is often eaten with breakfast cereal, muesli or crushed crisp bread on top']",1
Filmjölk,breakfast,"['breakfast', 'cereal']","['in the nordic countries, filmjölk is often eaten with breakfast cereal, muesli or crushed crisp bread on top']",2
Filmjölk,cooking,['sauce'],"['some people add sugar, jam, apple sauce, cinnamon, ginger, fruits, or berries for extra flavor']",1
Fromage frais,bread,"['bread', 'spread']","['it can be served either as a dessert, spread on bread, usually over or under jam, or used in savoury dishes']",2
Fromage frais,dessert,['dessert'],"['it can be served either as a dessert, spread on bread, usually over or under jam, or used in savoury dishes']",1
Frozen yogurt,dessert,"['dessert', 'ice cream', 'sweet']","['sugar (beet or cane) provides 15–17% of the yogurt ingredients; in addition to adding sweetness, it increases the volume of solid ingredients, improving body and texture', 'frozen yogurt can be made in a soft serve freezer much the same way as soft ice cream', 'frozen yogurt consists of milk solids, a sweetener, milk fat, yogurt culture (commonly lactobacillus bulgaricus and streptococcus thermophilus), plus flavorings and sometimes coloring (natural or artificial).\n', 'milk solids account for 8–14% of the yogurt volume, providing lactose for sweetness and proteins for smoothness and increased resistance to melting', 'the american frozen dessert chain pinkberry is credited for allowing people to customize their frozen yogurt with toppings, while another chain, 16 handles is credited for introducing multi-choice self-service machines.\n', 'some companies offer a more tart version considered closer to the original recipe, whereas others focus on making their own taste more like ice cream.\n', 'sweeteners, flavorings, and colorings are then mixed in, and the yogurt mixture is cooled at a temperature of −6 to −2\xa0°c (28\xa0°f)', 'usually more tart than ice cream (the tanginess in part due to the lactic acid in the yogurt), as well as lower in fat (due to the use of milk instead of cream), it is different from ice milk and conventional soft serve', 'frozen yogurt (also known as frogurt or by the tradename froyo; /ˈfroʊjoʊ/) is a frozen dessert made with yogurt and sometimes other dairy and non-dairy products', 'frozen yogurt is a frozen product containing the same basic ingredients as ice cream, but contains live bacterial cultures.\n']",10
Gelato,dessert,"['custard', 'dessert', 'gelato', 'ice cream', 'pastry', 'sweet']","['gelato typically contains 35% air (substantially less than american-style ice cream) and more flavoring than other types of frozen desserts, giving it an intense flavor with creamy, smooth texture, density and richness that distinguishes it from other ice creams.\n', 'stracciatella is fior di latte gelato with chocolate chunks', 'in italian, gelato is the common word for all types of ice cream', 'the original fior di latte is a plain, base ice cream with no flavor and no eggs added', 'cosimo ruggeri and bernardo buontalenti were 16th-century contemporaries who are credited by some sources with the invention of gelato, while other sources claims that sicilian cooks gradually modified the sherbet recipe over time, giving birth to the earliest form of gelato.\n', ""in the 1530s, catherine de' medici took gelato to paris.\n"", 'the mixed gelato is then batched in the freezer.\n', ""traditional flavors of gelato include crema ('custard'), vanilla, chocolate, hazelnut, almond, and pistachio"", 'commercial gelati are often sweetened with inverted sugar, sucrose, dextrose or xylitol, and may include a stabilizer such as guar gum.\n', 'in 1945, in bologna, emilia-romagna, bruto carpigiani began selling gelato-making equipment, and created motogelatiera, the first automated gelato machine', ""gelato (italian: ; lit.\u2009'frozen') refers to a specific type of ice cream of italian origin"", 'carpigiani is a big manufacturer of gelato machinery.\n', 'the largest ice cream cone in the world was created in 2011 in rimini, emilia-romagna, during the 32nd edition of the international exhibition of handcrafted gelato, pastry, and bakery', 'in english, however, the term has come to be used to refer to a specific style of ice cream derived from the italian artisanal tradition.\n', 'this creates smaller ice crystals and results in the smooth texture of gelato', 'as with other ice creams, the sugar in gelato prevents it from freezing solid by binding to the water and interfering with the normal formation of ice crystals', ""in italian, gelato means simply 'frozen' and is the generic word for any type or style of ice cream"", 'the batch freezer made it easier to store frozen desserts', 'procopio obtained french citizenship, and a royal license from louis xiv, making him the sole producer of the frozen dessert in the kingdom', 'the process of making gelato is complex, starting with a custard base, mixed with milk and sugar, heating the ingredients to 85\xa0°c (185\xa0°f) for pasteurization', 'being one of the first to sell gelato directly to the public (prior to then it was reserved only for nobles), and making it known in the rest of europe, procopio is sometimes referred to as ""the father of italian gelato"".\n', 'artisanal gelato in italy generally contains 6–9% butterfat, which is lower than other styles of frozen dessert', ""in 1686, francesco procopio dei coltelli, a sicilian, brought his grandfather francesco's gelato-making machine to paris, opened café procope and introduced the dessert""]",35
Gomme,bread,"['bread', 'spread']","['it can be used as a cheese spread on slices of bread, lefse, or waffles', 'gomme (norwegian pronunciation: ) is a traditional norwegian dish usually served as a spread or a dessert']",3
Gomme,breakfast,['porridge'],['there also exists a porridge-like variant made of boiled milk with oat grain or rice'],1
Gomme,dessert,"['cake', 'dessert', 'sweet']","['gomme is commonly a form of sweet cheese made of long-boiled milk and having a yellow or brown colour', 'gomme has long traditions in several places in the country and was largely used as a party food when cakes were served, for example at christmas.\n', 'it can be served as a dessert with vanilla, cardamom, raisins, and cinnamon as added ingredients in most variants', 'gomme (norwegian pronunciation: ) is a traditional norwegian dish usually served as a spread or a dessert']",4
Haymilk,breakfast,['cereal'],"['for a maximum of 25%, also cereal crops (wheat, oats, rye, etc.) and beans, field peas, lupins, and oleaginous fruits']",1
Junnu,dessert,"['dessert', 'pudding']","['kharvas, also known as junnu, or ginnu, is an indian milk pudding made from cow or buffalo colostrum, the first form of milk produced within one or two days of giving birth', 'this dessert-related article is a stub']",2
Kalvdans,dessert,"['cake', 'dessert', 'pudding']","['in england colostrum milk, or beestings as it is called locally, was traditionally used for puddings', 'in iceland, a pudding called ábrystir is made out of colostrum milk', 'in india kharvas is a dessert made out of colostrum milk from buffaloes', 'similar desserts like kalvdans exists in other countries', 'thus the dessert gets a pudding-like consistency.\n', ""kalvdans (lit.\u2009'calf dance') is a classical scandinavian dessert"", 'the name kalvdans refers to the jiggly pudding-like consistency of the dessert', 'a related dessert is råmjölkspannkaka (raw-milk pancake)', 'in preparing the dessert, the colostrum milk is mixed with water and cautiously heated']",12
"Kashk, aaruul, chortan, qurut",bread,"['bread', 'spread']","['in lebanese cuisine, kishk is commonly used to this day, mixed with tomato paste, as a topping for manakish, a sort of flatbread cooked in an open oven and eaten for breakfast or a lunch', 'there are three main kinds of food products with this name: foods based on curdled milk products like yogurt or cheese; foods based on barley broth, bread, or flour; and foods based on cereals combined with curdled milk.\n', 'when fermentation is complete the kishk is spread on a clean cloth to dry, notably on the rooftops of rural dwellings']",3
"Kashk, aaruul, chortan, qurut",breakfast,"['breakfast', 'cereal', 'morning', 'porridge']","['in lebanon, jordan, arabian peninsula, and syria, kishk is a powdery cereal of burghul (cracked wheat) fermented with milk and laban (yogurt), usually from goat milk', 'there are three main kinds of food products with this name: foods based on curdled milk products like yogurt or cheese; foods based on barley broth, bread, or flour; and foods based on cereals combined with curdled milk.\n', 'each morning the mixture is thoroughly kneaded with the hands', 'the softened wheat forms a porridge-like consistency, which is then dried, crushed, and reintroduced to the fermentation process before being shaped into pieces and sun-dried on reed mats or inside clay rooms.\n', 'in lebanese cuisine, kishk is commonly used to this day, mixed with tomato paste, as a topping for manakish, a sort of flatbread cooked in an open oven and eaten for breakfast or a lunch', 'the ancient form of kashk is a porridge of grains fermented with whey and dried in the sun']",6
"Kashk, aaruul, chortan, qurut",cooking,"['cooking', 'sauce']","['it is available as a liquid or in a dried form, which needs to be soaked and softened before it can be used in cooking', 'in western parts of azerbaijan boiled flat dough is layered with a qurut white sauce and chicken to make azerbaijani xəngəl.\n']",2
"Kashk, aaruul, chortan, qurut",dessert,['sweet'],['it can be generally categorized into sweetened or unsweetened aaruul'],1
Kaymak,bread,"['bread', 'spread']","['in serbia, it is stuffed inside a chicken or other meat cutlet, breaded, and fried into a dish called karađorđeva šnicla, similar to a stuffed schnitzel.\n', 'in afghanistan, qaimak or qaymaq is thinner and is eaten for breakfast meals usually with bread', 'it can be spread on pastries or added to milk tea', 'it is typically eaten with georgian cheese and/or bread, and is only rarely served in restaurants.\n', 'kaïmaki (καϊμάκι) is a soft cream cheese that can be spread on bread or used in cooking as a filling in food and for desserts', 'the simplest recipe is lepinja s kajmakom (pita bread filled with kajmak), consumed for breakfast or as fast food.\n', 'it is often served with honey, bread, or fruit, especially at breakfast or during special occasions.\nit is also used for desserts, like with gata (food), kadaif, or baklava, but some eat it freshly', 'the most popular way is to spread it on an iraqi pastry bread called kahi and cover it with date honey', 'iraqis tend to serve geymar for breakfast with bread, honey or jam']",11
Kaymak,breakfast,"['breakfast', 'morning']","['qeymar on kahi with date syrup or honey is a long-standing traditional breakfast in baghdad and throughout southern and northern iraq.\n', 'in afghanistan, qaimak or qaymaq is thinner and is eaten for breakfast meals usually with bread', 'kaymak is mainly consumed today for breakfast along with the traditional turkish breakfast', 'kajmak is usually enjoyed as an appetizer or for saturday morning breakfast (as saturdays are market days when the best kajmak can be bought), and also as a condiment', 'the simplest recipe is lepinja s kajmakom (pita bread filled with kajmak), consumed for breakfast or as fast food.\n', 'it is often served with honey, bread, or fruit, especially at breakfast or during special occasions.\nit is also used for desserts, like with gata (food), kadaif, or baklava, but some eat it freshly', 'iraqis tend to serve geymar for breakfast with bread, honey or jam']",8
Kaymak,cooking,['cooking'],['kaïmaki (καϊμάκι) is a soft cream cheese that can be spread on bread or used in cooking as a filling in food and for desserts'],1
Kaymak,dessert,"['cake', 'dessert', 'ice cream', 'pastries', 'pastry']","['kaymak is traditionally eaten with baklava and other turkish desserts, fruit preserve and honey (bal kaymak) or as a filling in pancakes.\n', 'it can be spread on pastries or added to milk tea', 'kaïmaki (καϊμάκι) is a soft cream cheese that can be spread on bread or used in cooking as a filling in food and for desserts', 'kaïmaki can also be found as a chewy ice cream that is flavoured with mastic.\n', 'it is often served with honey, bread, or fruit, especially at breakfast or during special occasions.\nit is also used for desserts, like with gata (food), kadaif, or baklava, but some eat it freshly', 'the most popular way is to spread it on an iraqi pastry bread called kahi and cover it with date honey', 'it can also be used as a filling for pancakes.\n']",8
Kaymak,snack,['appetizer'],"['kajmak is usually enjoyed as an appetizer or for saturday morning breakfast (as saturdays are market days when the best kajmak can be bought), and also as a condiment']",1
Kefir,bread,['spread'],"['kefir spread from the former soviet union to the rest of europe, canada, japan, and the united states by the early 21st century', 'the word kefir, which is of north caucasian origin, became an international word, having originally spread to russia, central european and eastern european countries at least by 1884.\n']",2
Kefir,breakfast,"['breakfast', 'cereal', 'granola']","['in estonia, kefir is also often mixed with kama and eaten as a snack or a quick breakfast.\n', 'kefir is a common breakfast, lunch or dinner drink consumed in countries of west asia and eastern europe', 'kefir may be used in place of milk on cereal, granola, milkshakes, salad dressing, ice cream, smoothies and soup.\n']",4
Kefir,dessert,"['ice cream', 'pastries']","['kefir is consumed at any time of the day, such as alongside european pastries like zelnik (zeljanica), burek and banitsa/gibanica, and is an ingredient in cold soups.\n', 'kefir may be used in place of milk on cereal, granola, milkshakes, salad dressing, ice cream, smoothies and soup.\n']",2
Kefir,snack,['snack'],"['in estonia, kefir is also often mixed with kama and eaten as a snack or a quick breakfast.\n']",1
Kumis,cooking,['sauce'],"['traditionally it is sipped out of small, handle-less, bowl-shaped cups or saucers, called piyala']",1
Kumis,dessert,['sweet'],"["" when they have got together a great quantity of milk, which is as sweet as cow's as long as it is fresh, they pour it into a big skin or bottle, and they set to churning it with a stick  and when they have beaten it sharply it begins to boil up like new wine and to sour or ferment, and they continue to churn it until they have extracted the butter""]",1
Lassi,dessert,['sweet'],"['meethi (sweet) lassi is made by adding cardamom, rosewater, and saffron to the yogurt-water mixture.\n']",1
Leben (labneh),breakfast,['breakfast'],"['leben can be served at breakfast, lunch, or dinner.\n']",1
Malai,dessert,['sweet'],"['malai is a major ingredient in malai kofta dumplings and in sweet dishes like malai pedha, ras malai and malai kulfi', 'it is used in the cuisine of the indian subcontinent, especially in sweets from the indian subcontinent']",2
Míša,dessert,"['dessert', 'ice cream']","['míšas have been made continuously since 1962, and sell over 12 million ice pops per year, making it the most successful ice cream brand in the czech republic', 'they are made with frozen quark, rather than ice cream or yogurt.\n', 'this dessert-related article is a stub']",3
Mozzarella,bread,"['bread', 'sandwich']","[""ovolini are about the size of a hen's egg, and may be served whole as part of a composed salad or sliced for topping a small sandwich such as a slider"", 'an earlier reference of monsignor alicandri is also often cited as describing mozzarella, which states that in the 12th century the monastery of san lorenzo, in capua, campania, alicandri offered pilgrims a piece of bread with mozza.\n']",2
Mozzarella,cooking,"['casserole', 'cooking', 'pasta']","['due to its high moisture content, it is traditionally served the day it is made, and food writer arthur schwartz describes that a neapolitan will not eat day-old mozzarella without further processing—frying or baking into a casserole or pasta', 'the curd mass is left until the ph is at around 5.2–5.5, which is the point when the cheese can be stretched and kneaded to produce a delicate consistency—this process is generally known as pasta filata', ""mozzarella is a semi-soft non-aged cheese prepared using the pasta filata ('stretched-curd') method"", 'mozzarella is used for most types of pizza and several pasta dishes or served with sliced tomatoes and basil in caprese salad.\n', 'perlene are the smallest commercially produced and are often added to salads or hot soups and pasta dishes just before serving', 'the international dictionary of food and cooking defines this cheese as ""a soft spun-curd cheese similar to mozzarella made from cow\'s milk"" that is ""sed particularly for pizzas and  contains somewhat less water than real mozzarella"".\n']",7
Mozzarella,snack,['appetiser'],"[""bocconcini ('small mouthful'), sometimes called uova di bufala ('buffalo eggs'), are approximately bite-sized; a common use is alternating them with cherry tomatoes on a skewer for an appetiser""]",1
Mursik,breakfast,['porridge'],"['another type is the fast fermenting, even type, which gives a white, porridge like consistency.\n']",1
Mursik,dessert,['sweet'],"['there are many causes of unusual milk flavour, including the effect of plain gourd walls, which impart a bittersweet tang, and the plainness of white ripened milk, the role of itet  is paramount']",1
Paneer,bread,"['bread', 'spread']","['it is sometimes wrapped in dough and deep-fried or served with either roti(indian bread)', 'in bengali, odia and other east indian cuisines, the chhena are beaten or kneaded by hand into a dough-like consistency, heavily salted and hardened to produce paneer (called ponir), which is typically eaten in slices at teatime with biscuits or various types of bread, deep-fried in a light batter or used in cooking.\n', 'another theory is that like the word itself, paneer originated in persianate lands and spread to the indian subcontinent under muslim rule', 'another theory states that paneer is afghan in origin and spread to india from the lands that make up afghanistan']",4
Paneer,cooking,['cooking'],"['in bengali, odia and other east indian cuisines, the chhena are beaten or kneaded by hand into a dough-like consistency, heavily salted and hardened to produce paneer (called ponir), which is typically eaten in slices at teatime with biscuits or various types of bread, deep-fried in a light batter or used in cooking.\n']",1
Paneer,dessert,['sweet'],"['in the second recipe, buffalo milk was coagulated with indian mallow (abutilon indicum) or country mallow (sida cordifolia) and was made into balls for sweets', 'lokopakara text dated to the 10th century gives two recipes for coagulated cheeses made from buffalo milk for making sweets using plants and roots', 'paneer dishes can be sweet, like shahi paneer, or spicy/hot, like chilli paneer.\n', 'manasollasa, a sanskrit-language text by the 12th-century king someshvara iii, describes kshiraprakara, a similar sweet food prepared from milk solids after separating boiled milk using buttermilk.\n']",4
Ricotta,bread,"['bread', 'spread']","['it is sometimes used as filling for tlacoyos and tacos dorados, and in the central west area (jalisco, michoacán, and colima) it is spread over tostadas or bolillos, or served as a side to beans', 'it is smeared on bread, mixed with tomato sauces for pasta, or added to vegetable dishes.\n']",2
Ricotta,cooking,"['cooking', 'gratin', 'pasta', 'sauce']","['regardless, irkotta is used in very similar ways to italian ricotta within maltese cooking, being a primary filling for savoury dishes like ravoli and pies, as well as sweet dishes such as cannoli and cakes', 'it also is used as a mayonnaise substitute in traditional egg or tuna salad and as a sauce thickener.\n', 'it can be salted or sweetened for cooking purposes', 'it is milky-white and firm, and is used as a table cheese or for grating or shaving over dishes, particularly pastas made fresh from water and flour', 'bronze cheese graters found in the graves of the etruscan elite prove that hard-grating cheeses were popular with the aristocracy', 'ricotta is also commonly used in savory dishes, including pasta, calzone, stromboli, pizza, manicotti, lasagne, and ravioli.\n', 'it is smeared on bread, mixed with tomato sauces for pasta, or added to vegetable dishes.\n']",9
Ricotta,dessert,"['cake', 'dessert', 'pastry', 'sweet']","['the increased production of rennet-coagulated cheese led to a large supply of sweet whey as a byproduct', 'regardless, irkotta is used in very similar ways to italian ricotta within maltese cooking, being a primary filling for savoury dishes like ravoli and pies, as well as sweet dishes such as cannoli and cakes', 'ricotta curds are creamy white in appearance, and slightly sweet in taste', 'like mascarpone in northern italian cuisine, ricotta is a favorite component of many italian desserts, such as cheesecakes and cannoli', 'ricotta can be beaten smooth and mixed with condiments, such as sugar, cinnamon, orange flower water, strawberries, and occasionally chocolate shavings, and served as a dessert', 'while both types are low in fat and sodium, the italian version is naturally sweet, while the american is a little saltier and moister.\n', 'it can be salted or sweetened for cooking purposes', ""this basic combination (often with additions such as citrus and pistachios) also features prominently as the filling of the sicilian cannoli and layered with slices of cake in palermo's cassata.\n"", 'it is also one of the two traditional fillings for pastizz, a local savoury pastry snack, with the other being mushy peas.\n']",11
Ricotta,snack,['snack'],"['it is also one of the two traditional fillings for pastizz, a local savoury pastry snack, with the other being mushy peas.\n']",1
